date_received,product,sub_product,issue,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,complaint_id,client_id
07-08-2012,Credit card,Loan account,Transaction issue,Web,08-08-2012,Closed with non-monetary relief,Yes,CR0131786,8615
07-08-2012,Bank account or service,Checking account,Using a debit or ATM card,Web,09-08-2012,Closed with non-monetary relief,Yes,CR0131527,3568
07-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,15-08-2012,Closed with explanation,Yes,CR0131938,10066
07-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,08-08-2012,Closed with explanation,Yes,CR0131866,2429
07-08-2012,Bank account or service,Checking account,Problems caused by my funds being low,Web,08-08-2012,Closed with monetary relief,Yes,CR0131719,4136
07-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,08-08-2012,Closed with monetary relief,Yes,CR0131778,822
06-08-2012,Credit card,Loan account,Advertising and marketing,Web,08-08-2012,Closed with non-monetary relief,Yes,CR0130492,1691
06-08-2012,Credit card,Loan account,Closing/Cancelling account,Web,07-08-2012,Closed,Yes,CR0130758,2353
06-08-2012,Credit card,Loan account,Billing disputes,Web,07-08-2012,Closed with non-monetary relief,Yes,CR0130673,3062
06-08-2012,Credit card,Loan account,Convenience checks,Web,07-08-2012,Closed with monetary relief,Yes,CR0130750,5133
06-08-2012,Credit card,Loan account,APR or interest rate,Web,13-08-2012,Closed with explanation,Yes,CR0130532,4652
06-08-2012,Bank account or service,(CD) Certificate of deposit,Deposits and withdrawals,Web,07-08-2012,Closed with explanation,Yes,CR0130671,9366
06-08-2012,Bank account or service,Other bank product/service,"Account opening, closing, or management",Web,07-08-2012,Closed with explanation,Yes,CR0130791,4057
06-08-2012,Bank account or service,Other bank product/service,"Account opening, closing, or management",Web,14-08-2012,Closed with explanation,Yes,CR0130209,2607
05-08-2012,Credit card,Loan account,APR or interest rate,Web,07-08-2012,Closed with explanation,Yes,CR0130463,4253
05-08-2012,Bank account or service,Checking account,Problems caused by my funds being low,Web,07-08-2012,Closed with monetary relief,Yes,CR0130475,5727
03-08-2012,Credit card,Loan account,Other fee,Web,03-08-2012,Closed with monetary relief,No,CR0129382,1509
03-08-2012,Credit card,Loan account,Collection debt dispute,Web,06-08-2012,Closed with non-monetary relief,Yes,CR0129441,618
03-08-2012,Credit card,Loan account,Credit line increase/decrease,Web,07-08-2012,Closed with non-monetary relief,Yes,CR0129475,3158
03-08-2012,Credit card,Loan account,Late fee,Web,07-08-2012,Closed with non-monetary relief,Yes,CR0130327,293
03-08-2012,Credit card,Loan account,Credit card protection / Debt protection,Web,08-08-2012,Closed with explanation,Yes,CR0130021,4643
03-08-2012,Credit card,Loan account,Collection debt dispute,Web,06-08-2012,Closed with explanation,Yes,CR0129508,1248
03-08-2012,Credit card,Loan account,Payoff process,Web,07-08-2012,Closed with non-monetary relief,Yes,CR0129281,4360
02-08-2012,Credit card,Loan account,Billing disputes,Web,13-08-2012,Closed with explanation,Yes,CR0129264,1317
02-08-2012,Credit card,Loan account,Billing disputes,Web,13-08-2012,Closed with explanation,Yes,CR0129265,36
